movieId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
3063,13913,13247,464,822,281710,90125,13911,14770,32317,1387,121879,28292,20325,318044,13963,75964,31511,51120,42632,26782,21137,17768,12473,22682,19082,3080,2433,135,159151,62677,28236,24128,13671,34113,33740,18893,1553,55650,88018,31530,70042,31514,41804,26701,20529,11839,60966,9459,18929,132,41253,567860,31532,63498,400608,191294,14793,872,53079,40423,16301,31805,43881,13222,11031,3062,228,28288,3087,11049,2438,20556,42121,28432,704,17990,37659,21193,391698,42839,31516,16378,25209,74719,332562,84334,16769,279,53217,21589,42232,11663,7514,48561,25698,11779,22492,18094,34857,5817
17352,43239,51120,17820,28293,31511,332562,31805,25167,13861,28907,3087,13497,46929,30180,5638,13936,18978,43340,29887,12763,3062,12182,13757,23148,11424,51044,28292,41253,13671,16323,424694,20343,17990,27686,6478,21468,25196,9526,11009,22553,34838,18283,18646,34774,1816,26320,28432,11172,28345,759,24679,42232,43261,17661,17768,22682,1407,16520,14030,24153,24348,1677,62127,17729,33725,31516,40082,43277,12637,17917,42158,15716,17281,42622,8446,16563,11708,20325,244786,17889,313369,33743,40867,70042,16620,24014,939,69,2769,3537,15855,10560,13320,33339,35936,21193,13963,42797,39391,65203
8873,20421,27804,40082,25199,333,1649,17696,13816,18973,567860,38615,29601,23825,391698,46929,22553,8872,2098,323373,15716,2115,19596,13861,3055,26320,58467,2179,26326,27586,12621,25438,14518,37917,53617,13595,17332,14299,25872,159151,13994,42622,12508,15392,51120,26484,17667,16919,23655,11172,21370,16620,18074,9781,6478,39833,13757,31805,75964,157117,62127,14030,37924,42045,42017,2094,22309,13763,13247,34038,26483,11708,1584,9526,253414,364067,12535,29572,14410,18642,15173,10186,29463,17126,10874,22588,80585,53079,12182,271714,6575,16367,2210,26299,41823,15310,33734,3682,20604,64328,61487
31516,31532,62677,31511,28432,41253,33740,21622,42632,43787,135,31798,43390,74719,3087,11839,23148,29380,42232,25209,21193,43239,3062,3111,27686,7514,5638,20325,16563,198469,28292,9459,34857,118098,35032,759,15855,24679,31530,2750,31805,3080,43029,13671,18094,17990,18283,17820,17889,11779,13497,59533,13485,28907,24348,6478,28288,77448,27745,784,13963,27017,17768,909,13913,228,29376,13911,13936,11239,132,2769,11424,332562,26606,40423,16176,17729,18193,16769,34774,16323,76330,15716,16520,18978,43881,36724,271714,42045,30890,33734,33738,28100,18646,21137,12473,13368,872,44258,3902
81310,2152,26723,24679,29887,18094,52036,271714,20325,13247,88018,17889,18978,332562,53217,198277,84334,15855,13963,41253,13757,25898,29380,64328,13576,33740,11172,135,9768,13485,17450,118098,9524,15716,31805,16618,42632,22682,5723,46929,51120,24128,19082,3902,74719,15171,14900,25196,13936,21468,13368,43261,3080,11839,18646,277216,1618,13370,11176,42159,909,9526,9684,2769,16520,42622,41823,17729,872,759,57825,66473,31516,14030,20343,13850,29601,34774,27686,16448,31530,16367,11424,12635,12535,24348,16769,59533,40867,12335,13911,17990,30890,1407,3087,10560,13320,9459,16323,28288,53565
42232,25196,9459,13911,10654,7514,12635,11424,12473,31516,17661,3087,16563,24153,13913,13936,132,33740,42632,3062,29376,24679,228,15765,10373,21468,8428,84334,3902,13370,40423,11779,20967,15855,33734,18283,16620,16323,33743,16769,11009,5638,14831,71,4485,17917,31514,14900,14283,20325,42797,17889,18978,10419,27327,58985,14030,243,39391,13671,24128,784,12104,3537,30890,14924,42121,17450,759,704,9526,1407,1677,2769,19082,28345,5723,786,11708,17768,2148,17352,16,13963,12545,69,16448,135,3111,40867,909,1584,16520,299,2750,3121,21721,10784,10437,11054,11663
11031,41569,135,16919,70342,27337,31548,88018,159151,426410,18094,53217,13963,28432,25771,36124,191294,31206,37659,18984,47060,19082,17990,42632,63498,822,9459,13913,13911,28030,26782,55650,43787,53079,90125,22485,28293,161687,157117,41804,132,70042,20604,13222,75964,25196,22492,16448,34857,1553,11049,16301,243,1843,24128,69,13370,28292,464,23825,14770,7514,21137,14308,31147,59533,43839,22553,3063,786,12473,61488,84334,42121,20325,27745,33740,369557,42839,2152,279,74719,72744,5723,28236,20556,18929,11661,15675,11779,759,13247,18893,784,40423,2438,159014,318044,277216,704,2750
243,1294,159151,121879,1553,88018,22485,271714,33738,137563,470333,391698,27017,33319,18094,90125,2433,42464,25196,25771,375742,392820,14518,53344,41804,20556,22492,16301,33740,42632,13222,23148,27686,72744,24679,18893,12473,28292,70342,17768,9459,16378,426230,15675,132,26723,20325,17990,786,157117,198277,18929,41120,16018,5071,244403,97447,567860,42839,1677,23825,59533,31511,13963,25209,18984,5723,16919,42232,2152,69,26606,83589,784,11663,1387,3062,34113,1843,30890,369557,55650,50789,54300,209451,27059,464,412924,84334,9684,4485,11049,11424,19590,256924,32328,12109,42045,13370,759,19082
2054,40082,29887,23148,27804,25921,27017,13247,51120,14804,939,41120,22627,22288,567860,159151,157117,256924,90125,12763,27686,22485,319075,1677,42158,16323,13861,43261,15697,21721,28345,29380,16620,21468,6478,198277,28907,43239,18978,118098,29601,43340,64328,275601,12535,15673,58467,18691,24679,33734,209451,62677,277216,17332,23825,2438,33738,25445,5123,37917,25196,53079,18646,19596,18283,159014,26326,46929,42622,12637,21622,17729,11172,16367,1816,13062,13671,464,28100,1584,12182,42797,24153,332562,16769,41823,69,43029,15310,41253,3537,16520,15171,16618,299,367412,13936,17820,10186,2148,25167
13595,42017,12763,40082,20421,26879,11475,13861,18973,27804,13063,39833,37924,25872,13816,12621,6478,15278,16127,26477,43939,1649,323373,8873,68817,2179,8446,29572,18642,12535,26483,35936,2210,567860,9781,10910,33339,9768,17464,1931,2098,18691,57825,23825,21525,17332,254470,26320,27586,10654,37917,25438,2115,10186,5123,319075,24103,15259,26326,34774,6575,22627,157117,3682,12182,21721,400608,27997,12508,14030,18074,9429,1618,18228,13531,15673,11962,11335,15947,341012,13757,12109,22588,64328,46929,51333,19366,2005,136799,29463,11172,43277,25221,59533,13497,14024,26484,9816,36536,13376,25921
65,70027,159151,25921,22627,41566,23825,10797,40082,567860,23367,17820,20158,42618,412924,13861,16366,23148,33740,61487,40867,159014,20421,277216,42464,28292,2098,90125,333,14299,327331,74719,27686,42045,24014,29204,31805,53296,41823,21525,470333,23655,28432,318044,27804,118098,41120,72744,301351,17990,31511,25196,157117,12635,61488,36124,25167,18984,34857,58985,939,1553,27586,28907,17332,2115,339792,16301,33734,36724,16620,12182,111479,42017,8428,1584,34453,58467,32489,13497,14308,18644,53344,1677,15765,6478,18228,13701,332562,51120,10654,17450,29572,12763,9816,12535,20556,14410,46992,18193,11172
15121,43787,159014,822,14770,158675,159151,31206,157117,41120,20556,2438,391698,53296,42632,16301,127370,33740,318044,23825,13062,70027,75964,77448,16520,15697,2152,53079,63498,90125,22492,11839,42839,23997,13485,369557,13671,43350,13368,74719,18978,121879,17729,25196,34463,872,1553,28658,12473,42837,3087,43199,43390,41804,567860,759,43261,1387,37204,51120,31516,29380,375742,71,271714,84334,464,17990,72744,16367,42158,1677,28030,17661,15171,28292,3062,24964,16366,69,16769,17917,31805,37659,31548,16563,2433,332562,28236,19596,28345,331781,23378,60966,20325,14030,209451,909,17768,19082,41253
8818,43029,17820,275601,40082,24014,43232,33738,41804,364067,18929,51044,68817,27686,23825,25167,20343,28293,12637,27586,23148,10910,10654,31805,42622,14030,16323,43340,1816,26606,18978,12545,209451,136799,13861,939,19610,51120,42618,43239,21468,2115,28907,15237,43261,42017,74719,10174,28100,55650,29572,13763,22288,1407,17729,2148,66473,42632,332562,42158,16620,277216,13497,41253,17332,42159,3087,464,8446,254470,11424,19596,333,57825,33740,11172,28292,42884,31151,12535,11475,1931,26598,18283,42797,17450,18984,118098,17915,9837,2098,22309,15278,39391,14114,17768,13936,13671,37917,2210,37924
872,507076,90125,14770,157117,3080,42632,33740,135,42837,20556,1387,159014,31532,13222,159151,391698,369557,53079,31530,31516,121879,19082,2438,822,75964,33319,23378,13671,21193,29380,21137,11839,20325,31548,63498,17990,70042,13963,28030,759,31511,109264,23997,2769,13913,367412,3063,16769,11239,28288,12473,14793,5817,84334,161687,28292,271714,22492,279,51120,26723,16520,5590,69,16378,5723,784,318044,24128,88018,32317,81310,10784,13485,11176,13911,62677,15121,26606,4485,9459,42121,909,13368,48561,3062,132,3087,16301,281710,704,24679,71,243,53217,567860,25196,59533,470333,11663
