movieId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
423,31427,250761,34528,29933,283587,46738,205,13783,400728,613,7862,284689,26508,33319,424,1786,21345,14667,24458,36851,5923,435129,11646,32054,670678,2440,34530,600,18780,340101,975,252178,8996,1251,792,25670,205596,625,12698,9665,55936,121835,632,826,11426,11661,31997,238628,9075,5925,53457,332270,15384,39312,2841,857,10911,335578,11202,41205,3060,9289,84170,78215,5902,52679,633,37853,29266,14574,12651,263614,11658,10110,31439,1116,36709,17295,387,8290,11778,433247,10178,15383,31657,12477,15497,18783,9952,10687,803,12832,26522,29715,143,14433,27367,3482,8885,1417
16869,22311,50618,33319,31427,26522,23051,335578,40739,43490,31941,250761,21345,29270,3010,78215,14111,7862,43791,48169,21735,17277,60216,600,21876,5923,17744,51200,50183,14087,19728,25670,792,263614,2440,1783,9075,32041,37828,1786,13752,41205,38360,31997,29266,19155,4708,36709,38251,46738,52885,228150,433247,9952,857,423,283587,613,340101,23908,94047,34921,205,22301,43798,39312,5925,59401,252178,22178,12660,25037,826,11948,2042,28,348674,11372,3482,267872,351339,29383,42238,10110,205596,10652,42006,32054,36554,82737,49798,975,10911,1417,12651,10178,424,12162,11953,10105,1654
197,3060,12832,50618,515001,43791,256962,13752,29266,60216,52679,94047,400728,263614,857,5937,324786,43418,12651,11661,616,21345,78215,5923,433247,9665,17382,5925,43510,284689,335578,5902,267872,11046,59401,11658,853,43490,792,9075,76758,54669,205,316042,13210,7862,1654,855,16442,9952,1251,29383,10911,228150,1566,18780,205596,15877,427342,11202,9289,11646,11463,74513,84170,10839,250761,10655,332270,283587,10110,423,11589,801,2253,36439,18200,613,11372,271674,8429,18784,424,9361,300671,340101,2841,193756,600,37129,13813,826,14968,12162,8619,121835,8963,238628,15813,1271,36851
616,50618,400728,13405,332270,94047,51200,15813,35583,271674,43504,36583,1783,27098,49320,14968,37451,118910,334517,670678,18780,15925,43013,23908,36709,31997,43418,12651,11706,21876,10105,2016,76758,43786,15876,26522,8963,7010,4708,29715,5902,20595,78215,2253,853,31941,43791,13813,193756,17744,36439,31623,11463,31938,43510,46872,23928,14582,37103,31037,2024,9952,300671,324786,29383,9104,15873,13210,8349,12289,16638,11046,30856,11780,855,24458,18784,12660,10911,14667,36554,3683,228150,31681,37129,7445,17685,1495,21735,10652,11372,351339,2604,53457,10687,15192,5923,8988,9361,10590,8619
600,435129,263614,34528,16284,31217,250761,29270,792,26508,12832,267872,28,34530,17277,975,78215,31427,613,515001,11948,283587,54669,43798,7862,84170,36439,53200,8290,5902,205,18770,423,39312,43786,17295,14667,5937,11646,24395,46738,2440,935,43418,5055,19728,8885,121835,36851,50183,1786,30970,3010,29383,37828,12698,15384,5925,11778,16869,11658,238628,15876,15244,1251,23908,3482,12477,387,826,789,15383,60216,25237,1654,12651,43490,633,10178,857,625,10911,400728,2016,543580,20941,10839,1417,28988,9075,11953,21735,38646,11463,11046,18784,14433,12162,11589,11202,1116
387,3060,34528,36627,1566,34530,263614,42238,5937,31217,43786,8429,20941,43418,121835,10857,613,7862,670678,283587,29933,15383,38360,26508,543580,17295,35580,975,826,13210,11646,8290,10178,250761,24167,43013,13783,15876,1786,36851,803,5925,17614,43791,435129,789,16442,14433,53457,18200,5902,29383,42611,11202,348674,46592,8016,21345,15497,22584,49798,50618,632,335578,50183,205,143,502,625,25405,23908,26205,947,13752,12698,25037,633,3482,18780,600,36498,11953,118910,8885,12503,53200,41355,15384,14087,16914,31442,11046,792,26372,423,11463,38884,36439,28,1251,15192
8963,13405,19728,17744,17382,13210,47555,13752,429351,127372,21735,20941,15876,49798,18200,12651,1783,250761,334517,35580,21876,14582,31894,26522,43786,121835,424488,26680,11372,13813,19664,26205,2016,53457,16914,10684,12576,10652,60216,22905,7010,2253,14439,31623,18780,3683,11463,62630,4708,9952,43418,853,205596,23567,228150,7445,1116,5902,616,10142,9075,10911,227306,9104,37103,333352,31935,3482,801,23908,2440,18770,10590,11046,12289,13614,12503,16442,17614,22972,25405,284689,162215,8619,14911,48213,76758,11661,30856,670678,27461,36709,31938,7862,18784,39312,22994,1251,13524,37308,10491
1271,41355,13405,36709,2042,22301,27098,29710,38646,62630,35068,61416,348674,59401,30856,31623,15267,21345,82737,27461,26205,1783,17339,18780,334517,94047,31941,17744,60216,14111,21876,36554,228150,853,13922,300671,362045,855,37103,14439,2253,13813,670678,8349,43786,12651,616,8963,15873,162215,10590,10652,193756,11463,31894,16514,2024,15877,15813,400728,351339,13210,7862,10015,10491,11372,10105,283587,10687,12246,22972,14667,22377,73194,17382,14097,197,1495,5902,31918,14582,9952,50618,11780,801,8665,390054,51200,3683,12660,25405,22905,16638,27854,7010,31938,32084,15384,13752,37305,16564
947,50183,10857,25905,263614,34528,41205,826,435129,42449,670678,17295,975,803,78215,15244,32087,53200,5925,121835,42611,283587,24167,53457,36439,8290,31442,3060,21345,613,387,29933,7862,10178,12477,632,42700,26508,29266,11202,625,5902,15383,25037,17277,13783,250761,84170,935,33319,11646,36851,11661,12698,143,11953,777,14433,60216,1786,46738,26372,502,15384,22871,10911,3482,38360,543580,28,1251,907,22584,423,789,11948,2440,340101,15497,205,13752,10705,34530,23908,25237,29383,46592,16442,633,13614,40739,15876,600,42130,32054,424,42006,8619,13210,31439,37853
28,52679,17277,1566,50183,50618,335578,34530,12832,8290,34528,600,78215,84170,31217,5937,18770,26508,13405,8429,18790,803,53200,975,29933,613,17295,238628,43791,24458,121835,28988,15383,12698,11778,43798,15244,43418,792,7862,25237,283587,935,15384,41597,263614,250761,340101,38360,31442,14582,43884,321751,1786,46738,37129,22584,387,37828,26372,16284,826,23908,625,5055,2440,449758,789,42238,947,13752,423,3060,41205,25037,252178,13783,12477,11658,37036,39312,1251,8996,5925,205,11646,36665,1417,11948,16869,73194,31427,55936,29266,11953,16328,52885,36439,13210,633,31906
