movieId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
283995,118340,10856,22500,30194,18874,340357,347882,26275,23728,284052,21874,59852,30,315635,363088,102899,429617,12476,306963,299536,24428,375366,199575,100402,99861,271110,127585,13856,19184,409421,413279,13391,10045,290859,1726,299534,49538,20424,3019,11884,279254,464111,212168,54138,1771,16767,24559,188927,29452,10133,68721,16241,607,426254,15990,53094,137113,22501,10341,51876,45612,286217,450465,10122,263115,284054,13475,299537,333339,5898,11940,9538,36657,21538,84329,10138,463800,4917,9606,241855,42188,11049,399579,84332,348350,14139,29425,281338,14258,211387,436274,180,330459,11633,35412,324857,76726,174675,8072,10559
1892,1891,11,2929,76535,381519,18839,30,330459,475946,29320,211387,140607,352128,860,24959,473072,463800,24357,18874,70703,98568,105,13475,17431,306963,27864,366924,333371,11049,340357,218,16320,76122,1726,280,15137,286217,14139,10514,429617,22494,17244,506072,413279,447332,182067,59189,603,118340,84329,283995,180,24914,329,54138,437311,679,137113,42188,29146,10681,284052,11299,13391,13204,409421,363088,36658,335984,9323,348,127585,71883,840,263115,9693,15081,36657,11864,329865,45612,27205,49538,2756,11850,500664,28942,225745,53094,9597,14069,1714,276908,106,24428,7012,30698,37686,1984,22230
902,59457,27864,3127,892,36107,3079,24358,500664,303867,84329,22843,199575,55792,11049,14801,70687,3019,324857,387426,14139,46837,13391,218425,17431,375366,340357,15301,1984,775,823,430231,26278,7012,11297,42188,22230,65632,86812,77561,212167,264660,569547,4977,1714,48797,241855,3022,335984,9693,24675,115442,59967,245703,10176,530,424783,21596,273271,340837,3509,11417,212168,68,19,21159,9323,10514,35073,38,254320,3596,39538,63,34276,22561,300668,24914,263115,14337,8076,10787,22494,2666,206487,837,636,11850,35412,53094,447332,333371,12140,10681,84332,37686,329865,16380,662,59189,11299
6479,352128,20683,17803,13391,2048,9317,18993,70703,28430,8076,24732,529216,26932,40140,18032,6593,51365,20504,3074,75612,193687,390734,35073,5172,7551,62697,16241,51876,17180,14892,425505,72190,45612,238615,10540,30194,409421,34276,14830,1635,20424,471474,25875,347945,15613,19959,24749,3484,6950,11099,98568,31867,10606,22561,39538,377264,68724,10128,49126,530382,38050,2981,3079,98622,226448,10559,30315,180,9077,11297,607,74,10138,340357,20410,21380,363088,23728,41651,15990,274870,97605,59967,602,3022,10326,411143,534,1551,199575,10724,408648,1562,49530,399579,20815,4858,3019,24214,15301
8373,38356,279096,336455,91314,37178,71254,1858,335988,34376,24126,339530,365942,9738,6593,301875,72559,15026,367551,14869,13995,400710,44833,18775,29343,11425,15028,60747,253312,72545,14822,831,308531,19384,87101,98566,5470,2160,97020,37108,10483,44912,401513,427641,14161,88751,377264,14892,46529,97605,13836,9278,18501,436274,2080,31909,44943,35614,36648,440,351286,9480,240483,299687,328595,257344,411999,8247,9947,228066,18890,10017,9785,395,41759,1450,9341,19287,16577,274854,16300,268896,10357,262504,121856,16866,84226,8698,56715,534,39254,20980,9562,10200,157350,35791,13455,238615,331446,71679,7737
603,529216,2929,381519,18839,340357,225745,27205,17431,137113,35435,29320,25694,286217,280,63,1891,218,679,348,27864,180,329865,1892,264660,157336,14092,9323,37928,105,78,11,10681,624479,14069,16320,306963,9693,782,13475,1726,45612,51876,11299,18874,38,335984,303867,22494,30,24675,13363,860,14139,18,220289,71883,17654,324857,263115,4977,823,59967,283995,127585,2666,447332,7299,24959,149,118340,170,10514,1984,333371,330459,49538,20894,24357,500664,54138,15999,84329,11049,80527,284052,206487,24358,10386,503314,530,49084,152601,2756,830,31011,18727,212167,12140,840,36658
27205,24732,529216,157336,37928,464111,475946,3418,28430,48797,30,2929,21596,340357,286217,352128,329865,17431,137113,603,269246,782,18839,14572,180,63,264660,45871,25392,3019,22494,3079,45612,212167,2666,14069,84329,409421,51876,10681,306963,447332,105,324857,315011,9693,3022,335984,23728,11049,38,3075,59967,220289,823,860,263115,65104,2756,13475,27864,14139,646767,26689,24357,279254,283995,12140,419771,31011,280,16320,500664,22230,26275,284052,18,15081,330459,241855,206487,4977,1272,1726,429617,1892,35073,127585,218,9323,54138,679,165,303867,18874,463800,1090,152601,861,30194,17654
8077,276908,211387,17803,11588,59457,14573,25627,3075,475946,9597,119569,97605,390734,396263,114046,366924,14892,18775,408220,73262,347945,411143,98568,531309,27591,297556,15691,26689,8078,193687,19901,46837,3484,253312,21970,377264,347882,340837,10640,334538,24675,505948,27864,406761,123105,475759,406990,199575,24960,174675,28942,63375,29425,38849,22976,24580,328595,30250,436274,30194,36800,245703,11683,31867,430231,273271,919,424783,10133,13856,34069,3016,396806,59189,152795,10177,5172,348350,19898,29437,75612,400710,24914,16873,34851,429471,395992,286538,410199,22494,70703,8408,329004,390582,24749,301875,15613,14510,15301,11935
14869,73936,13995,72559,228066,33005,401905,36807,4296,9507,13836,1450,476926,10596,20764,9738,30194,284674,301875,9424,43935,23410,299687,86828,14822,10483,10357,84226,377264,2687,535167,257344,68179,300681,18890,38356,295830,334538,320288,91314,88751,5470,14878,274854,308531,11425,331446,31586,302156,427641,40095,44833,400710,384798,7341,279096,44943,182067,14161,46529,262504,10748,2157,16873,11607,44912,11285,8373,5172,10145,60747,16577,9271,49849,36648,9785,8247,14113,16866,11940,8831,12088,10344,19959,2045,72545,294254,9383,335988,11260,4858,353491,2267,9574,1680,1499,97020,71679,17198,10724,9381
87101,10640,59115,338676,56832,470114,238615,21874,429415,302156,377264,400136,56715,534,411143,73262,23410,301729,530382,296,23728,57876,10145,19959,4965,86828,97020,26255,36648,145135,414190,246655,1738,9562,427641,265016,8247,13455,9620,60747,10796,294254,9278,274854,4858,64635,10357,68724,18501,36668,10596,49849,384798,8202,9872,193687,2045,14822,8656,2267,9381,43935,81796,8836,300681,6795,10416,28941,253312,476926,34851,38356,390734,30250,73936,135397,2210,227719,9424,157350,11495,299687,11099,435,16248,384521,9738,834,8870,158852,5172,2080,274870,1635,201,269173,14161,13811,141052,8452,608
