movieId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
9255,26939,9595,35854,174751,43149,221731,31671,339396,8349,127533,22717,14392,81390,13127,11847,38558,40812,366924,11205,18899,437109,29805,408220,19014,399402,26444,11340,13481,14111,12629,16311,14797,32037,43935,26486,346672,15846,26175,384798,1702,12633,341006,170657,32051,27292,38821,69828,29979,15797,40810,454227,37034,43930,9644,24860,427641,447404,28975,483906,37988,438650,19384,35552,13249,14097,15136,331313,13177,42402,458594,44004,10694,19124,44147,43345,253412,14240,429351,447200,34003,227300,373571,5889,274862,9017,216282,26173,336882,6341,8697,79224,11647,162215,13637,98567,36629,5353,42261,21871,41215
5550,12574,38950,5470,10596,373569,334074,14547,26325,27150,2038,24993,268920,72545,28510,4597,39002,11380,1872,14853,10375,25678,22590,31947,26300,11504,257088,14929,29723,16456,21299,13995,9624,55731,290595,43643,10366,256961,18885,65137,1499,17134,34746,28737,27786,122857,12764,73499,1639,11955,77234,14219,11667,123553,15644,54007,10253,36555,335988,11244,55699,32049,18828,11187,9405,10167,456740,27380,16314,11535,29621,9876,417644,42566,15135,32302,23172,11045,94348,10680,346910,9823,11411,20006,2436,34314,188207,25087,17832,20307,11221,10040,38618,16325,10216,63105,98567,31638,8854,17205,2162
744,78215,14310,40683,23538,484641,446807,31679,11847,55292,10640,38234,13481,24357,43510,7010,384018,14851,31935,347984,454294,449992,17657,399402,535167,449443,21294,13495,291356,471507,34379,12543,16436,25720,458594,4984,337170,14400,4597,15801,366924,36554,14979,14198,4628,62630,10743,291276,1647,28303,29627,81390,471014,296524,22907,70627,300671,13291,19957,59961,37645,25694,180894,32074,41946,69828,9869,56188,56292,29185,9331,1266,399248,75780,10105,321528,43786,69526,20379,74998,408220,48677,11884,307081,93828,253412,13012,20187,253980,18712,300673,13922,20164,12651,45610,193756,4349,5353,475946,69716,35580
2453,29979,4597,14979,44147,27150,302156,121824,14603,17134,8398,192102,11607,87826,102362,81005,24825,23047,29185,48572,19664,12088,14805,32631,7515,22907,146198,9039,316727,13572,47327,9074,216282,15618,12227,41283,9562,38955,261392,6058,13389,18555,49527,98567,11358,5289,9766,13153,11199,152747,37645,60304,19150,10544,10529,10694,49526,46529,5820,26200,144336,302699,34813,10538,9972,27396,138103,59108,26180,6723,72387,14636,152760,20533,76640,11398,2165,15644,9399,6470,134411,1492,71679,42807,9394,21219,11866,18886,1534,18550,20307,11078,9417,62206,52520,9604,46528,14362,11968,49017,5353
1891,11,1892,78237,2463,359724,30596,50475,269494,14455,85,363579,53129,89,18624,416144,22600,23538,19562,20848,4909,17165,10515,17809,11841,291549,437068,344,121,120,29363,272,43510,18839,12496,934,221731,19506,10775,140607,122,330459,218,1672,562,41474,42737,1059,134350,679,62128,25768,79406,21191,279254,14756,127533,155,603,5503,29805,121828,280,39029,11046,396535,20778,50618,9056,40171,8342,94047,37327,346,10911,11194,140212,5334,47854,3482,10180,1251,25253,13475,16436,1654,1669,5236,252178,10617,12622,296917,9461,101,250,967,30421,3089,984,396263,792
280,14455,42491,2463,218,331576,71066,359724,14384,18839,13210,43490,363579,562,41474,58878,379088,16693,679,29082,18874,37939,209764,461955,137113,89,4909,5503,29882,94047,106,9461,272,475946,10863,984,941,17810,71065,54178,12651,15362,14572,11046,2501,22383,861,85,396263,45706,396535,42120,839,13696,9386,32534,180,455236,416144,96721,967,43510,14756,31132,18899,10911,40083,2503,41477,14761,33104,10775,9056,1669,500664,4034,11471,90,2502,10083,59440,11647,25768,10515,658,36557,11841,17809,2487,792,1726,50374,1654,5236,603,11509,296917,61044,109424,6609,1672
604,2463,605,50090,363579,30596,14310,31935,34179,94047,23995,29627,28932,127533,290864,25474,40171,40718,14455,70627,31544,448776,29363,22599,68818,19506,426284,12629,16411,390734,22572,10703,13989,34732,14527,12633,41602,32726,411736,14392,170657,205775,43345,13064,298093,35944,31943,34626,23538,1123,36273,2048,21521,242454,219572,221731,409421,47854,8697,16214,17761,37988,30624,13249,1647,26259,4628,291356,12543,32037,1266,75612,14797,54979,20329,71142,333484,37034,13807,221732,190469,397567,32041,379149,5890,410921,32087,9717,2207,646767,16138,55292,344,18670,20083,13291,10743,408220,17657,15797,36554
121,122,120,204553,22600,29363,5334,40171,279254,14455,158091,79406,41979,461955,23995,11693,30596,54178,363579,43090,25699,44641,347413,25720,57776,10751,221731,396263,397567,2463,1892,56800,1891,272,14756,29082,17660,17809,10515,18839,127533,25495,471968,18624,34626,89,5922,38821,11,291549,13980,20778,11841,13210,17165,53085,603,29627,98,35138,155,49051,85,16661,18780,10618,486131,101,359724,2440,14310,26201,79,96721,22,62128,34326,59440,49026,19621,11046,27205,11344,2501,8342,16693,21191,68818,5503,24163,9461,59529,1251,7549,396535,137113,16320,967,1726,50618,10775
8681,204553,2463,23030,248376,134126,31943,20681,68818,197950,269494,140212,26175,11563,20682,22617,14310,50618,24860,31679,17744,7010,21521,211387,13012,23825,291549,32030,13177,94047,50475,10618,40171,15813,9660,11537,14830,10975,18780,14398,9509,20605,18355,14576,7485,15877,14392,48138,50374,34732,18158,225574,55292,30596,448776,31598,9798,40709,426284,11046,18899,47423,20379,11526,12651,475946,10180,156022,21519,7549,12113,22600,16651,449443,4918,75780,1436,11198,21876,37472,7551,9461,109424,12655,353081,19728,14694,9631,42470,14797,10652,16514,18771,81390,59961,15873,9869,13249,56292,2502,61404
603,18624,2463,78237,381519,14455,209764,50475,29363,18839,27205,40574,101,204553,41979,137113,1672,363579,155,390497,272,28270,252822,31509,10775,14756,25495,416144,10515,281298,44641,2501,426284,18874,280,331576,10180,1891,121,98,134350,218,562,679,122,120,85,89,41474,7347,79,9323,11344,1892,11194,47931,2503,8342,752,180,31600,96721,17660,11647,432836,25768,59440,79553,17809,113082,5503,42491,49026,4909,3482,70670,9461,2502,11,34326,36557,14674,13980,792,104,16320,39872,23538,670,111,26744,13475,10617,10911,5236,50618,38361,16869,471968,1372,9693
