movieId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
809,16716,234862,76535,253980,808,20899,119569,22473,33534,19957,33065,18993,458253,32558,12902,351044,19463,14241,45745,20558,433941,80709,30074,75948,16176,9597,98162,301528,23101,474350,10631,810,12797,127864,201676,159824,17897,27681,311539,2006,76492,352490,47406,10166,211387,13350,76122,75258,13402,41043,50388,10192,475215,21348,135718,433471,59500,48395,46528,41253,340357,18283,62177,557,278927,18698,58,2899,2981,558,3933,11533,213121,12232,103332,310,287947,10693,8204,82702,44638,25313,420817,19101,12222,11319,207686,522518,2657,10215,1870,812,73624,411,2668,36968,13465,2062,17889,22
121,122,120,40171,42512,13402,37060,12650,29267,397567,19072,33065,45745,127864,364540,10515,76535,29454,33534,100271,49051,81,22,31506,33108,128,49296,16859,497,4935,36079,16373,752,70089,315465,10191,1491,1433,1417,271,673,51739,2973,170657,129,2493,2270,32558,12445,762,433941,18727,8392,23101,340357,127585,57158,587,12444,103332,14784,1262,767,471968,1871,620,674,902,44864,354912,675,211387,113082,20981,15370,73576,284052,779,2062,40092,64847,14241,19354,258230,808,27942,80709,14069,140607,18193,28963,9597,284053,18,38914,892,9479,337703,14282,130925,41253
9495,9463,315465,13402,144288,19957,15775,340357,413279,2972,323027,70089,474350,21453,19425,409297,301804,16373,9597,515195,19463,15301,420814,59500,287903,27681,15999,8953,12797,14830,32558,58129,12650,170261,17897,37933,46528,38914,48395,22473,25313,17111,8204,324849,271,92321,16140,2668,11253,1491,116711,27937,10166,463821,15370,408220,527261,1487,145760,924,628,51739,16007,3933,2270,28436,1433,18193,10488,113082,13600,14282,258230,517839,18993,10529,23522,268,8009,9007,259316,79707,12994,436274,1262,20312,116745,353486,752,399055,23082,127585,314405,561,47168,211387,22976,433310,297725,284052,3064
497,13402,25694,31506,23101,100271,1491,25970,2972,340357,103332,19425,51362,22473,127864,196649,51739,19072,212167,29267,19490,587,92321,1262,22561,122906,514754,475215,14241,752,80518,47406,113082,32558,354912,13198,18993,20312,15775,381289,137698,24559,10191,42430,40092,515195,10515,30421,25597,13318,110420,808,29451,48395,14784,145760,46498,160046,301528,14282,22,1417,51120,1813,2280,620,12232,1427,16859,28476,10837,59436,2062,16716,601,1433,137,2323,45745,15301,4922,121,12797,15370,4935,16373,18,673,628,43379,2270,70089,122,11704,284052,2657,2668,14069,212162,337703,11533
122,121,120,397567,37060,13402,40171,127864,36079,33065,100271,12650,433941,10515,33534,47060,38914,11291,29267,128,81,49051,42512,22,16859,497,29454,4935,19072,364540,23101,51739,40342,25970,45745,752,337703,315465,42724,40092,1491,64847,5590,10191,1433,103332,211387,32407,70089,1417,19490,13188,8392,325385,129,762,98864,673,2493,587,21348,127585,27942,301528,1262,12445,113082,271,57158,2270,14784,620,15766,354912,28963,12444,413279,284052,16559,140607,49296,767,674,2062,284053,902,15370,18,14069,675,137,808,73576,20329,32558,9479,44864,13318,28162,14282,16716
353486,11044,24032,127867,436274,14208,430447,12994,919,287947,446894,447404,10631,408220,14136,351044,526,397837,354251,14821,25842,211387,330764,13151,2899,433310,293167,19236,458253,11548,463821,16007,17889,13509,7985,278927,409297,15370,213121,294272,18317,420817,9007,1593,427641,4244,30959,8844,515195,39545,338970,10326,11428,5994,11551,2978,9100,48395,102651,297762,1930,82702,465136,11319,564,212167,10195,11980,2907,37725,2687,181533,284054,12335,246655,293863,11352,10323,9374,6217,76338,296100,14207,1729,36586,339967,2619,44603,19101,37933,58244,24559,311324,411,13225,103332,517839,283366,1734,70160,6795
11497,1961,20421,14207,16127,381289,13225,2687,15035,27591,10837,12994,463821,42010,7980,47168,35215,19425,18252,27850,13151,13380,26603,11548,9785,9992,15301,15138,11135,258230,16007,339967,1448,287903,10326,16441,21362,10166,26672,74461,15142,47939,41965,30421,8839,38147,2274,13682,2612,23488,10019,5471,11828,17834,2608,18937,10488,18698,35151,13836,11114,36914,256835,14239,26398,13477,8989,9016,10150,11824,20312,10510,38965,15944,51120,9297,15943,10529,14629,23939,24816,19042,17111,22611,514754,10869,8840,849,23082,8844,6278,11571,24032,14822,10323,9374,1729,13198,2309,13945,13400
1494,2899,10631,18317,12232,110420,15370,13465,17897,25842,5471,51739,10210,24032,116711,10166,321612,10728,82702,11548,39314,228161,32235,26963,10215,259316,12185,339967,13198,11533,12797,338970,337703,919,54318,103332,17111,159824,49636,102651,284052,11571,23728,8953,2008,11319,9449,22292,116745,19101,110416,59436,102780,18209,10150,3084,18727,16559,18919,62177,24420,1433,46528,10488,11135,399055,123,287947,10830,417859,181808,24559,2907,6917,13509,15265,122906,20123,9007,297762,11596,293167,224141,361292,1491,15515,34647,1961,25313,28162,81005,11236,246655,274854,58244,58,13225,3933,76492,11954,12437
259316,76535,17897,2006,15515,253980,20981,211387,11571,11940,25970,11533,23033,340357,18317,11548,119569,3084,12994,135718,20481,24086,12797,13509,294795,48395,1494,127867,430447,258230,515195,408220,39545,2612,436274,18209,284052,18727,767,212167,2134,3064,423949,338952,14334,323661,674,12185,675,12444,33534,297725,301804,15301,16633,672,40423,22292,303857,18283,12232,24808,24032,1433,24559,54318,24420,293167,12445,79707,848,10166,23728,9785,671,447404,673,33108,297762,6917,82702,22611,130925,11044,12187,13465,201085,526,287947,2687,10631,10195,127585,314405,14208,49051,2269,62177,11980,919,315465
12335,10837,463821,15081,16220,14241,16373,24418,26398,11708,15301,44603,11571,51120,19953,27681,12994,420814,81001,13945,5471,37025,14207,41253,102780,13400,11319,16249,2687,40092,28436,47168,14821,37933,38914,46261,11114,15944,9992,18973,51739,18727,11905,14136,2269,353486,25313,13465,12187,11548,109491,10166,8204,18993,22688,27591,11533,258230,24086,11135,13600,14517,18887,150689,62177,20481,19933,16084,428078,2897,339967,10693,25628,284052,23728,848,10488,10869,14262,42010,137321,18283,11224,287947,11236,58129,35019,49017,6069,29451,2006,2612,44864,46146,449563,9007,15943,12222,62213,12092,33441
