,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,overview,poster_path,production_companies,production_countries,release_date,revenue,runtime,status,title
66,False,/m8PJ4fjK8PmwLFzWVxnDk4OGfFA.jpg,,0,"Drama,Family",,40628,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",/k4jOFtt7NqEtLnoI2Rs3BqKNHtI.jpg,Miramax,US,1995-10-22,0,85,Released,Two Bits
67,False,/8M1725YmmdYRnzj1E81rk0o68Pe.jpg,,0,"Comedy,Romance",,4482,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,"Les Films Flam,Renn Productions,Canal+,TF1 Films Production",FR,1995-02-08,0,95,Released,French Twist
68,False,/isWyP4jWmcCHjUcanVwGBDwVSsA.jpg,Friday Collection,3500000,Comedy,http://www.newline.com/properties/friday.html,10634,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",/z76scMklBnEC91CFqHcvqrS5coO.jpg,New Line Cinema,US,1995-04-26,28215918,91,Released,Friday
69,False,/3kPTAFgx2BftDOexBe41k8kqSRD.jpg,From Dusk Till Dawn Collection,19000000,"Horror,Action,Thriller,Crime",http://www.miramax.com/movie/from-dusk-till-dawn/,755,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,"Los Hooligans Productions,A Band Apart,Dimension Films,Miramax",US,1996-01-19,25836616,108,Released,From Dusk Till Dawn
70,False,/x7olteFm31lU0Bfh24gnYfMnxsU.jpg,,50000000,"Action,Thriller,Romance",,11859,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,"Silver Pictures,Warner Bros. Pictures",US,1995-11-03,11534477,91,Released,Fair Game
71,False,/f61rupdBeqLxl0S6tOcA2asuyxH.jpg,,0,"Comedy,Drama,Romance",,28387,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",/186brkmaBmopqcM0dPs71tj9BfM.jpg,"Castleberg Productions,Sandollar Productions,Lions Gate Films",US,1995-10-06,718490,96,Released,Kicking and Screaming
72,False,/dOl26y7ZgoLOXMdkpdk7CF8EWuZ.jpg,,0,"Drama,History",,48750,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",/ePJCk8puXx28CtvpSpmezpwfVt8.jpg,"TF1,Les Films 13,Canal+",FR,1995-03-22,0,175,Released,Les Miserables
73,False,/mKIdUYEUinlj92R6uEGdzeiAZ7I.jpg,,0,"Drama,Romance",,20927,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,"New Line Cinema,Juno Pix",US,1996-01-26,19030691,87,Released,Bed of Roses
74,False,/3F0uWe1vjqwshmcbh1iqtEdK6Bu.jpg,,15000000,Comedy,,36929,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,"Morgan Creek Productions,Warner Bros. Pictures",US,1996-01-26,2042530,90,Released,Big Bully
75,False,/7LMy4tZggDRa31ycv5ccnPtLspV.jpg,Screamers Collection,20000000,"Horror,Science Fiction",,9102,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,"Fuji Eight Company Ltd.,Allegro Films,Fries Film Group,Super Ecran,Triumph Films,The Movie Network","CA,JP,US",1995-09-08,5781885,108,Released,Screamers
76,False,/71MweF7afO241k7CCpeSDPh3noZ.jpg,,0,Documentary,,124626,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",/tuIDKBp92R4tGFOB46MofvakfiY.jpg,"ZDF,Bluehorse Films,Ciak Filmproduktion","DE,US",1995-02-18,0,70,Released,Nico Icon
77,False,/5f52cZjCdE5BTFaoKzvnayhhD3j.jpg,,0,"Drama,Thriller",,27526,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg,Miramax,US,1995-11-15,0,111,Released,The Crossing Guard
78,False,/5zuDFMpk1zdHemAu0xMySI4nFx1.jpg,,44000000,"Drama,Thriller",,9623,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,Columbia Pictures,US,1996-02-02,0,118,Released,The Juror
79,False,/jRLhcuyTPgcaCzrTKVTVrFDWrYo.jpg,,0,"Family,Drama",,46785,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,"I.R.I.B. Channel 2,Ferdos Films",IR,1995-02-02,0,85,Released,The White Balloon
80,False,/5iCxKe3zEPnrc1Y0R0m0YnFdaBO.jpg,,8000000,"Drama,Crime",,400,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,Miramax,US,1995-12-01,529766,116,Released,Things to Do in Denver When You're Dead
81,False,/xheICnokTIzE3O774XWlmUPYdb2.jpg,,900000,"Drama,Comedy",,880,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",/9UJF0JZAqUXWALywncpvpeepXo6.jpg,"Bergen Film,Bard Entertainments,NPS Televisie","NL,GB,BE",1995-09-12,0,102,Released,Antonia's Line
82,False,,,0,"Romance,Drama",,146599,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg,"BET Pictures,United Image Entertainme",US,1996-01-26,0,115,Released,Once Upon a Time... When We Were Colored
83,False,,,0,,,188588,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel.",/qVCkkiAoxh5e1UIKJ4Uo6ILV8qA.jpg,,,1995-11-22,0,108,Released,Last Summer in the Hamptons
84,False,/afhweHfy44yWbAMWxZ6vg9hq8B9.jpg,,0,"Drama,Romance",,8447,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,"Playhouse International Pictures,Samuel Goldwyn Company","GB,US",1995-09-10,0,118,Released,Angels and Insects
85,False,/g007k6BkEvbWjGMb8UYTOG85Ium.jpg,,38000000,"Action,Drama,Adventure",,10534,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,/3a5nomeyzJF4gG26HouCtce99ki.jpg,"Hollywood Pictures,Largo Entertainment,Scott Free Productions",US,1996-02-02,10300000,129,Released,White Squall
86,False,/dpiciyrHsu9BchmC4x8PoCfubre.jpg,,16000000,"Adventure,Comedy,Family",,17414,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",/kn0iqDYsWN4b6u9zmhQCIZg19yR.jpg,"Joe Wizan/Todd Black,20th Century Fox",US,1996-01-12,0,88,Released,Dunston Checks In
87,False,/5e520E5E3gO3EbDqhHZ9PVstAHk.jpg,,0,Comedy,,13997,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",/2wsaboVhKXpsLchoaXi0oWmQ7xM.jpg,Paramount,US,1996-02-01,32,87,Released,Black Sheep
88,False,/ccBkUeSqxnHduFrTTTjJEoi4OkC.jpg,,8169363,"Crime,Drama,Thriller",,2086,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,Paramount,US,1995-11-22,8175346,90,Released,Nick of Time
89,False,,,0,Drama,,61548,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter. On his journey, he comes upon a run-away slave, a young woman about 19 and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and, ultimately, returned to her slave owner.",/hT5CF2RJPAVi9TE4iKxGYAufY4J.jpg,"Miramax,Addis Wechsler Pictures",US,1995-09-14,0,91,Released,The Journey of August King
90,False,/mErnrp6gxgSw7eYVnuos3k8EkWf.jpg,,47000000,"Drama,Horror,Thriller,Romance",,9095,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",/Oesh4pN5J2ing4flkgkiVdxILP.jpg,"NFH Films,TriStar Pictures",US,1996-02-23,12379402,104,Released,Mary Reilly
91,False,/iPjz3w5J8BY56aZSnAhUQ72BavC.jpg,,14000000,"Comedy,Horror,Romance",,12158,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,Paramount,US,1995-10-26,19800000,100,Released,Vampire in Brooklyn
92,False,/5VfgNZJvJ6FcwF3PPQbpUIzILkQ.jpg,,0,"Comedy,Drama,Romance",,9283,"During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg,"Woods Entertainment,Miramax",US,1996-02-09,0,112,Released,Beautiful Girls
93,False,/pi0Z4gmbvwl6j7tKbwMj8elSzzT.jpg,,50000000,Action,,9208,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg,"WCG Entertainment Productions,20th Century Fox,The Mark Gordon Company",US,1996-02-09,150270147,108,Released,Broken Arrow
94,False,/aIj2uPKXpGViZ4YUhVnfB1J0oi9.jpg,,0,Comedy,,40154,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope.",/cl5WtKNYL7porHGCroRTAKCGlTM.jpg,"Midwinter Films,Castle Rock Entertainment",GB,1995-12-01,0,99,Released,In the Bleak Midwinter
95,False,/t52ImvH020yOvoEhH6sRzC6XoCj.jpg,,2600000,Drama,,406,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said - a Jew, African, and an Arab - give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point.",/jTzBED0leGPwWDqNewye11qzJgd.jpg,"Studio Image,Cofinergie 6,Egg Pictures,Kasso Inc. Productions,La Sept Cinéma,Les Productions Lazennec,PolyGram Filmed Entertainment,Canal+",FR,1995-05-31,15300000,98,Released,La Haine
96,False,/cnUKRi0czPSQwElBs9K4B8JZoDa.jpg,,0,"Action,Adventure,Drama,Science Fiction,Thriller",,45549,"A dark, hip, urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding. An exciting game in which stolen cars are driven through shop windows to aid large-scale looting before the police arrive. For Tommy, it's a business, but for Billy and Jo, it's a labour of love. As the competition between Tommy and Billy grows more fierce, the stakes become higher and the ""shopping"" trips increasingly risky.",/jdYL6f0KXnYBcnWnwGtnanJtKlE.jpg,Channel Four Films,GB,1994-12-06,0,105,Released,Shopping
97,False,,,0,Documentary,http://www.nickbroomfield.com/heidifleiss.html,63076,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.",/laPSb9I8TuYslOh1OcgaTByWKnw.jpg,"BBC,CBC,Cinemax Reel Life,InPictures,Lafayette Films,Westdeutscher Rundfunk","GB,CA,US,DE",1995-12-27,0,106,Released,Heidi Fleiss: Hollywood Madam
98,False,/pyopmpNMW3mTBz0ZqInyGYDEgb6.jpg,,0,"Drama,Thriller",,11062,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg,"Columbia Pictures,Castle Rock Entertainment",US,1996-02-16,0,111,Released,City Hall
99,False,/9iD7ExWV9KvIawioDI0ALyjxKtT.jpg,,7000000,"Comedy,Crime,Drama",,13685,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.",/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg,"Boyle-Taylor Productions,Gracie Films,Indian Paintbrush,Columbia Pictures",US,1996-02-21,560069,91,Released,Bottle Rocket
100,False,/erx8f0naEnBc4J9DqtkNtRK1bfI.jpg,,0,"Comedy,Romance",,47475,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.",/8oZW1loLEczN1BU60YobsJJFdSR.jpg,Touchstone Pictures,US,1996-02-16,0,96,Released,Mr. Wrong
